iter	RMSE
0	39.18725595
1	38.54440734
2	37.98143017
3	37.49630233
4	37.09504644
5	36.7277855
6	36.43104909
7	36.16282782
8	35.92154712
9	35.7201316
10	35.54761268
11	35.39977641
12	35.26716104
13	35.15585611
14	35.05404597
15	34.97630937
16	34.9014709
17	34.84098935
18	34.78540548
19	34.73969006
20	34.69968344
21	34.66358788
22	34.63597458
23	34.6074823
24	34.58322814
25	34.56365222
26	34.54441487
27	34.53103999
28	34.52044184
29	34.51047335
30	34.50007795
31	34.48915722
32	34.4815428
33	34.47616402
34	34.46608265
35	34.45457157
36	34.44798419
37	34.44198945
38	34.43741737
39	34.43518174
40	34.43408637
41	34.43183852
42	34.4287851
43	34.42574372
44	34.42462999
45	34.42340584
46	34.4217114
47	34.41973009
48	34.4130389
49	34.41045547
50	34.4059298
51	34.40483651
52	34.40376346
53	34.40241943
54	34.40185475
55	34.40017397
56	34.39918398
57	34.39359618
58	34.3925405
59	34.39208649
60	34.38953098
61	34.38935557
62	34.38903498
63	34.38814825
64	34.38769187
65	34.38346624
66	34.38301324
67	34.38172873
68	34.38099053
69	34.38081476
70	34.38045208
71	34.37839357
72	34.37486679
73	34.37438918
74	34.37386702
75	34.37145332
76	34.36849549
77	34.36793635
78	34.36761186
79	34.36627168
80	34.364282
81	34.36265613
82	34.36106698
83	34.36013379
84	34.35990607
85	34.35946901
86	34.35901514
87	34.35779098
88	34.35765506
89	34.35436666
90	34.35245571
91	34.35067417
92	34.35031857
93	34.3490912
94	34.34828445
95	34.34827765
96	34.34625903
97	34.34601146
98	34.34595778
99	34.34563762
100	34.3454393
101	34.34521786
102	34.34492035
103	34.34477873
104	34.34341908
105	34.34341018
106	34.34220649
107	34.34044162
108	34.3390469
109	34.33872715
110	34.33872646
111	34.33812307
112	34.33653446
113	34.33591332
114	34.33582649
115	34.33437471
116	34.33423453
117	34.33280905
118	34.33231063
119	34.33228356
120	34.33221174
121	34.33185696
122	34.33182215
123	34.3309078
124	34.33084555
125	34.33051978
126	34.32963956
127	34.32893806
128	34.32738806
129	34.32733875
130	34.32679411
131	34.32642128
132	34.32546021
133	34.32539677
134	34.32413592
135	34.32389055
136	34.3224666
137	34.32001666
138	34.31853271
139	34.31824673
140	34.31697822
141	34.31589955
142	34.31440089
143	34.31418995
144	34.31353218
145	34.31328749
146	34.31277445
147	34.312447
148	34.31226588
149	34.31174915
150	34.30993488
151	34.30896135
152	34.30825344
153	34.30626311
154	34.30542932
155	34.30491704
156	34.30299032
157	34.30149136
158	34.30066856
159	34.29956384
160	34.29884208
161	34.29857178
162	34.29815101
163	34.29795383
164	34.2965238
165	34.29422133
166	34.29218395
167	34.29112386
168	34.2904097
169	34.29010684
170	34.28976857
171	34.28951796
172	34.28801765
173	34.28622034
174	34.28541668
175	34.28383946
176	34.28321121
177	34.28137098
178	34.27988451
179	34.27964763
180	34.27914674
181	34.27820674
182	34.2780156
183	34.27719815
184	34.27556118
185	34.27484559
186	34.27467119
187	34.27406034
188	34.27238176
189	34.27102792
190	34.27084333
191	34.26929928
192	34.26850795
193	34.26721552
194	34.26610117
195	34.26488232
196	34.26397887
197	34.2635443
198	34.26241776
199	34.26107741
200	34.26030758
201	34.25928721
202	34.25867393
203	34.25803407
204	34.2579035
205	34.2570333
206	34.25578717
207	34.25445889
208	34.2534791
209	34.25292771
210	34.25218688
211	34.25153037
212	34.2509269
213	34.25081694
214	34.25030815
215	34.24929912
216	34.24865173
217	34.24798612
218	34.24717863
219	34.24678003
220	34.2452194
221	34.24399016
222	34.24389625
223	34.24352576
224	34.24265237
225	34.24129626
226	34.24084865
227	34.24000189
228	34.23939222
229	34.238692
230	34.23772874
231	34.23699
232	34.236158
233	34.2357056
234	34.23498495
235	34.23403083
236	34.23338373
237	34.23291957
238	34.2325915
239	34.23198332
240	34.23189339
241	34.23149936
242	34.23105226
243	34.23022581
244	34.22988581
245	34.22980899
246	34.2295283
247	34.22868043
248	34.22804567
249	34.22756013
250	34.22703645
251	34.22646241
252	34.22530995
253	34.22476634
254	34.22428298
255	34.2236392
256	34.22319617
257	34.22293583
258	34.22282837
259	34.222763
260	34.22177492
261	34.22118745
262	34.22094824
263	34.22040309
264	34.21998778
265	34.21959862
266	34.21881134
267	34.21834667
268	34.21746818
269	34.21692708
270	34.21648153
271	34.21601478
272	34.21530227
273	34.21477704
274	34.21439672
275	34.21388033
276	34.21316731
277	34.21311085
278	34.21260853
279	34.21198011
280	34.21165945
281	34.21102752
282	34.21060667
283	34.2103215
284	34.21022634
285	34.2097424
286	34.20932433
287	34.20855549
288	34.20828891
289	34.20789785
290	34.20758872
291	34.20681883
292	34.20667583
293	34.20628881
294	34.20530062
295	34.20477488
296	34.20472884
297	34.20410544
298	34.20369876
299	34.20324607
300	34.20282122
301	34.20248632
302	34.202231
303	34.20171609
304	34.20131959
305	34.20022545
306	34.19993887
307	34.19960885
308	34.19931121
309	34.19904014
310	34.19841688
311	34.19815302
312	34.19790863
313	34.19786905
314	34.19757507
315	34.19733352
316	34.19680003
317	34.19647023
318	34.19616651
319	34.1957662
320	34.19499376
321	34.1949106
322	34.19457869
323	34.19434544
324	34.19387445
325	34.19360832
326	34.19307336
327	34.19287071
328	34.19257225
329	34.19234236
330	34.1921335
331	34.19209909
332	34.19183675
333	34.19161117
334	34.19125757
335	34.19063435
336	34.19017631
337	34.18993867
338	34.18963508
339	34.18917713
340	34.18890033
341	34.18849295
342	34.18813437
343	34.18765734
344	34.18713969
345	34.18695592
346	34.18649158
347	34.18616205
348	34.18609742
349	34.18581739
350	34.18516804
351	34.1849079
352	34.18443238
353	34.18414736
354	34.18397622
355	34.18376437
356	34.18346154
357	34.18317183
358	34.18290722
359	34.18277688
360	34.18258902
361	34.1820307
362	34.18176814
363	34.18158722
364	34.18125385
365	34.18068368
366	34.18053439
367	34.1799246
368	34.17959828
369	34.17947052
370	34.17924218
371	34.1790492
372	34.17880504
373	34.17835248
374	34.17794126
375	34.17746354
376	34.17732428
377	34.17713028
378	34.17681683
379	34.17643755
380	34.17586439
381	34.17537385
382	34.17506849
383	34.17483635
384	34.17468682
385	34.17448571
386	34.17409854
387	34.1738364
388	34.17366788
389	34.17363748
390	34.17349225
391	34.17326222
392	34.17304943
393	34.17276947
394	34.17248054
395	34.17206792
396	34.17191884
397	34.1715622
398	34.17122381
399	34.17106452
400	34.17092756
401	34.17067419
402	34.17039038
403	34.1701995
404	34.16991612
405	34.16969018
406	34.16945862
407	34.16932475
408	34.1689833
409	34.16870633
410	34.16847807
411	34.16814891
412	34.16792229
413	34.16770115
414	34.16725184
415	34.16704699
416	34.16683048
417	34.16651049
418	34.16639057
419	34.1661995
420	34.16603112
421	34.16588724
422	34.16560361
423	34.16543862
424	34.16528198
425	34.16515219
426	34.16480546
427	34.16453196
428	34.16416177
429	34.16363715
430	34.16344249
431	34.16306538
432	34.16283528
433	34.16256603
434	34.1624645
435	34.16220937
436	34.16203307
437	34.16186509
438	34.16145153
439	34.16122168
440	34.16104887
441	34.16094137
442	34.16065218
443	34.16045159
444	34.16023261
445	34.16011036
446	34.15982504
447	34.15959647
448	34.15934241
449	34.1591548
450	34.15896935
451	34.15872284
452	34.15869924
453	34.15841547
454	34.15828185
455	34.15815633
456	34.15806878
457	34.15789804
458	34.15765115
459	34.1574453
460	34.15725122
461	34.15717167
462	34.15701163
463	34.1569305
464	34.15665727
465	34.15649168
466	34.1563301
467	34.15625206
468	34.15608293
469	34.15591247
470	34.15559665
471	34.15523706
472	34.15516521
473	34.15509054
474	34.15478322
475	34.15472028
476	34.15466164
477	34.15455802
478	34.15439594
479	34.1541979
480	34.15399706
481	34.15382746
482	34.15366162
483	34.15344327
484	34.15325309
485	34.1531206
486	34.15309999
487	34.15278704
488	34.15254032
489	34.15226271
490	34.1521046
491	34.15196072
492	34.15183318
493	34.15171041
494	34.15141284
495	34.15124783
496	34.15109363
497	34.15096198
498	34.15087276
499	34.15059184
500	34.15042757
501	34.15023628
502	34.15007353
503	34.14991126
504	34.14978739
505	34.14959383
506	34.1494758
507	34.14925583
508	34.14892378
509	34.14877505
510	34.14863501
511	34.14845937
512	34.14844172
513	34.14842662
514	34.14817123
515	34.14800106
516	34.14778188
517	34.14767448
518	34.14735214
519	34.14716024
520	34.14702152
521	34.14692471
522	34.14680559
523	34.14663733
524	34.14639893
525	34.14634492
526	34.14626724
527	34.14599573
528	34.14583806
529	34.14562978
530	34.14554194
531	34.14540648
532	34.14516653
533	34.14503946
534	34.14496507
535	34.14490689
536	34.14486209
537	34.14479797
538	34.14468279
539	34.14446979
540	34.14443625
541	34.14423213
542	34.14410362
543	34.14398329
544	34.14394126
545	34.14370623
546	34.14360647
547	34.143406
548	34.14327081
549	34.14305886
550	34.14290451
551	34.14276971
552	34.14265453
553	34.14246868
554	34.14241438
555	34.14231688
556	34.14222632
557	34.14209867
558	34.14198142
559	34.14185753
560	34.14162684
561	34.14136633
562	34.14129228
563	34.14121484
564	34.14101281
565	34.14083763
566	34.14056246
567	34.14047692
568	34.1403776
569	34.14019292
570	34.14010334
571	34.14006269
572	34.13988797
573	34.13972485
574	34.13958221
575	34.13947799
576	34.1393416
577	34.1393286
578	34.13912553
579	34.13908951
580	34.13907837
581	34.1388357
582	34.13868352
583	34.13861762
584	34.13841975
585	34.13841024
586	34.13825008
587	34.13814761
588	34.13804878
589	34.13788607
590	34.13772561
591	34.13756012
592	34.13731741
593	34.13712701
594	34.1369699
595	34.13679331
596	34.13663899
597	34.13650803
598	34.13641416
599	34.13629768
600	34.13623067
601	34.13612623
602	34.13607958
603	34.13592888
604	34.13584405
605	34.13578441
