iter	Passed	Remaining
0	64	64925
1	77	38635
2	82	27442
3	87	21800
4	92	18409
5	96	15996
6	99	14172
7	103	12840
8	107	11784
9	111	11011
10	114	10291
11	117	9667
12	120	9148
13	123	8696
14	127	8345
15	129	7986
16	132	7677
17	135	7404
18	138	7155
19	141	6927
20	144	6724
21	147	6541
22	151	6424
23	154	6267
24	156	6122
25	160	5999
26	163	5890
27	166	5776
28	169	5663
29	172	5577
30	175	5476
31	178	5386
32	181	5332
33	184	5247
34	187	5166
35	190	5097
36	192	5022
37	195	4954
38	198	4891
39	200	4819
40	202	4744
41	205	4679
42	207	4623
43	210	4572
44	212	4516
45	215	4459
46	217	4415
47	220	4371
48	223	4331
49	225	4290
50	228	4254
51	231	4217
52	233	4180
53	237	4164
54	240	4125
55	242	4092
56	245	4060
57	249	4051
58	252	4021
59	254	3991
60	257	3966
61	259	3926
62	262	3900
63	265	3877
64	267	3854
65	270	3830
66	273	3806
67	276	3783
68	278	3754
69	280	3731
70	283	3710
71	286	3691
72	289	3674
73	291	3652
74	294	3632
75	297	3614
76	299	3594
77	302	3575
78	304	3555
79	307	3538
80	310	3520
81	312	3503
82	315	3488
83	318	3472
84	320	3453
85	323	3437
86	326	3422
87	328	3408
88	331	3393
89	334	3383
90	337	3372
91	340	3358
92	343	3347
93	346	3336
94	348	3324
95	350	3304
96	353	3295
97	356	3283
98	360	3283
99	363	3268
100	367	3266
101	369	3256
102	372	3246
103	376	3241
104	379	3230
105	382	3222
106	384	3209
107	387	3198
108	390	3190
109	393	3182
110	395	3165
111	397	3154
112	400	3145
113	403	3137
114	406	3127
115	409	3118
116	411	3109
117	414	3100
118	417	3091
119	420	3081
120	422	3071
121	425	3062
122	427	3050
123	430	3042
124	433	3032
125	435	3023
126	438	3015
127	441	3010
128	444	3003
129	447	2994
130	450	2986
131	453	2979
132	455	2971
133	458	2962
134	461	2954
135	463	2946
136	466	2938
137	469	2932
138	472	2924
139	475	2922
140	478	2917
141	481	2909
142	484	2902
143	487	2895
144	489	2889
145	492	2882
146	495	2877
147	498	2869
148	500	2858
149	503	2852
150	506	2846
151	509	2840
152	511	2833
153	514	2826
154	517	2820
155	520	2814
156	522	2808
157	525	2801
158	528	2795
159	531	2788
160	533	2781
161	536	2773
162	538	2766
163	540	2757
164	543	2751
165	546	2745
166	549	2739
167	552	2734
168	554	2727
169	557	2721
170	560	2715
171	562	2709
172	566	2706
173	568	2700
174	571	2695
175	574	2689
176	577	2683
177	579	2677
178	582	2671
179	585	2665
180	587	2658
181	590	2653
182	593	2651
183	597	2647
184	600	2644
185	603	2640
186	605	2632
187	608	2627
188	611	2623
189	614	2618
190	618	2619
191	621	2614
192	623	2609
193	628	2609
194	630	2604
195	633	2599
196	636	2595
197	639	2589
198	642	2584
199	645	2580
200	647	2575
201	650	2571
202	653	2567
203	656	2562
204	659	2557
205	662	2552
206	665	2548
207	668	2543
208	671	2540
209	674	2536
210	677	2531
211	679	2526
212	682	2522
213	685	2516
214	688	2512
215	690	2507
216	693	2503
217	696	2498
218	699	2494
219	702	2489
220	705	2485
221	707	2480
222	710	2475
223	713	2470
224	716	2466
225	719	2463
226	722	2458
227	725	2455
228	728	2451
229	731	2447
230	734	2444
231	737	2439
232	739	2435
233	742	2431
234	745	2428
235	748	2423
236	751	2419
237	754	2415
238	757	2411
239	760	2407
240	762	2402
241	765	2399
242	768	2394
243	771	2391
244	774	2387
245	777	2382
246	780	2378
247	783	2374
248	786	2370
249	788	2366
250	791	2362
251	794	2358
252	797	2354
253	800	2350
254	802	2345
255	805	2341
256	808	2337
257	811	2333
258	813	2328
259	816	2323
260	818	2318
261	821	2314
262	824	2309
263	826	2305
264	829	2300
265	832	2296
266	835	2292
267	837	2288
268	840	2284
269	843	2281
270	846	2277
271	849	2273
272	852	2269
273	855	2265
274	857	2261
275	860	2257
276	863	2253
277	866	2249
278	868	2245
279	871	2240
280	874	2236
281	877	2233
282	880	2229
283	882	2225
284	885	2221
285	888	2217
286	890	2213
287	893	2209
288	896	2205
289	899	2201
290	902	2197
291	904	2193
292	907	2189
293	910	2186
294	913	2182
295	915	2177
296	918	2173
297	920	2169
298	923	2165
299	926	2161
300	929	2158
301	931	2154
302	934	2150
303	937	2146
304	940	2142
305	943	2138
306	945	2134
307	948	2130
308	951	2126
309	953	2122
310	956	2118
311	959	2115
312	961	2111
313	964	2106
314	966	2102
315	969	2098
316	972	2095
317	975	2091
318	977	2087
319	980	2084
320	983	2080
321	986	2076
322	988	2072
323	991	2069
324	994	2066
325	997	2062
326	1000	2059
327	1003	2055
328	1006	2052
329	1008	2048
330	1011	2044
331	1014	2041
332	1017	2037
333	1020	2034
334	1023	2030
335	1026	2027
336	1029	2025
337	1032	2021
338	1034	2017
339	1037	2013
340	1040	2010
341	1042	2006
342	1045	2002
343	1048	1999
344	1051	1995
345	1054	1992
346	1057	1989
347	1060	1986
348	1062	1982
349	1065	1979
350	1068	1976
351	1071	1973
352	1074	1969
353	1077	1966
354	1080	1963
355	1083	1960
356	1086	1957
357	1089	1954
358	1092	1950
359	1095	1946
360	1097	1943
361	1100	1940
362	1103	1936
363	1106	1933
364	1109	1930
365	1112	1927
366	1115	1923
367	1118	1920
368	1121	1917
369	1123	1913
370	1126	1909
371	1129	1906
372	1132	1903
373	1135	1900
374	1138	1896
375	1141	1893
376	1143	1890
377	1146	1887
378	1149	1884
379	1152	1881
380	1155	1877
381	1158	1874
382	1161	1871
383	1164	1868
384	1167	1865
385	1170	1862
386	1175	1861
387	1177	1857
388	1180	1854
389	1183	1850
390	1186	1847
