Time,RTT,No.,Source,Destination,Protocol,Length,Info,Country,Region,City,Org,Longitude,Latitude,Connection,Label
2024-07-07 22:21:46,28.203125,17182,192.168.8.134,162.249.72.5,UDP,561,61162  >  7116 Len=519,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 22:21:47,28.5,17297,162.249.72.5,192.168.8.134,UDP,694,7116  >  61162 Len=652,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 22:21:48,28.0,17591,162.249.72.5,192.168.8.134,UDP,53,7116  >  61162 Len=11,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 22:21:49,28.08928571428572,17620,162.249.72.5,192.168.8.134,UDP,61,7116  >  61162 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 22:21:50,28.1875,17709,192.168.8.134,162.249.72.5,UDP,69,61162  >  7116 Len=27,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 22:21:51,28.16666666666667,17804,192.168.8.134,162.249.72.5,UDP,75,61162  >  7116 Len=33,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 22:21:52,28.26190476190476,17931,192.168.8.134,162.249.72.5,UDP,75,61162  >  7116 Len=33,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 22:21:53,28.00649350649351,18034,162.249.72.5,192.168.8.134,UDP,80,7116  >  61162 Len=38,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 22:21:54,27.92307692307692,18227,162.249.72.5,192.168.8.134,UDP,80,7116  >  61162 Len=38,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 22:21:55,27.95833333333333,18277,162.249.72.5,192.168.8.134,UDP,68,7116  >  61162 Len=26,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 22:21:56,28.04545454545455,18404,162.249.72.5,192.168.8.134,UDP,80,7116  >  61162 Len=38,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 22:21:57,27.96078431372549,18533,162.249.72.5,192.168.8.134,UDP,68,7116  >  61162 Len=26,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 22:21:58,27.98,18647,162.249.72.5,192.168.8.134,UDP,68,7116  >  61162 Len=26,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 22:21:59,28.1,18740,192.168.8.134,162.249.72.5,UDP,76,61162  >  7116 Len=34,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 22:22:00,28.26,18847,162.249.72.5,192.168.8.134,UDP,68,7116  >  61162 Len=26,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 22:22:01,27.90740740740741,18937,192.168.8.134,162.249.72.5,UDP,76,61162  >  7116 Len=34,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 22:22:02,28.06382978723404,19027,162.249.72.5,192.168.8.134,UDP,68,7116  >  61162 Len=26,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 22:22:03,28.06,19107,192.168.8.134,162.249.72.5,UDP,76,61162  >  7116 Len=34,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 22:22:04,28.13461538461538,19199,192.168.8.134,162.249.72.5,UDP,76,61162  >  7116 Len=34,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 22:22:05,27.9375,19334,192.168.8.134,162.249.72.5,UDP,76,61162  >  7116 Len=34,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 22:22:06,28.08163265306122,19456,162.249.72.5,192.168.8.134,UDP,61,7116  >  61162 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 22:22:07,27.89583333333333,19752,162.249.72.5,192.168.8.134,UDP,61,7116  >  61162 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 22:22:08,28.16666666666667,20185,162.249.72.5,192.168.8.134,UDP,68,7116  >  61162 Len=26,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 22:22:09,28.01785714285714,20722,162.249.72.5,192.168.8.134,UDP,68,7116  >  61162 Len=26,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 22:22:10,27.85416666666667,21043,162.249.72.5,192.168.8.134,UDP,68,7116  >  61162 Len=26,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 22:22:11,28.0,21153,162.249.72.5,192.168.8.134,UDP,80,7116  >  61162 Len=38,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 22:22:12,28.08620689655172,21358,162.249.72.5,192.168.8.134,UDP,68,7116  >  61162 Len=26,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 22:22:13,28.2741935483871,21580,162.249.72.5,192.168.8.134,UDP,69,7116  >  61162 Len=27,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 22:22:14,28.2156862745098,21693,162.249.72.5,192.168.8.134,UDP,68,7116  >  61162 Len=26,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
